"1","0","pred","obs","Decile","Ventile","Charged_off"
0.1612,0.8388,"0","0",10,19,0
0.5133,0.4867,"1","0",3,5,0
0.4251,0.5749,"0","1",5,9,1
0.8486,0.1514,"1","1",1,1,1
0.5287,0.4713,"1","0",3,5,0
0.5601,0.4399,"1","0",2,3,0
0.1996,0.8004,"0","0",9,18,0
0.1958,0.8042,"0","1",9,18,1
0.3809,0.6191,"0","1",6,12,1
0.7365,0.2635,"1","0",1,1,0
0,1,"0","0",10,20,0
0.4049,0.5951,"0","1",6,11,1
0.6365,0.3635,"1","0",1,2,0
0.7537,0.2463,"1","1",1,1,1
0.311,0.689,"0","0",8,15,0
0.3916,0.6084,"0","1",6,11,1
0.8095,0.1905,"1","1",1,1,1
0.395,0.605,"0","1",6,11,1
0.7437,0.2563,"1","0",1,1,0
0.8815,0.1185,"1","1",1,1,1
0.5316,0.4684,"1","1",2,4,1
0.4684,0.5316,"0","1",4,7,1
0.4616,0.5384,"0","0",4,7,0
0.4306,0.5694,"0","1",5,9,1
0.309,0.691,"0","0",8,15,0
0.1608,0.8392,"0","0",10,19,0
0.4021,0.5979,"0","1",6,11,1
0.8326,0.1674,"1","1",1,1,1
0.4238,0.5762,"0","0",5,9,0
0.2802,0.7198,"0","0",8,16,0
0.5704,0.4296,"1","0",2,3,0
0.4204,0.5796,"0","1",5,10,1
0.2089,0.7911,"0","0",9,18,0
0.4923,0.5077,"0","1",3,6,1
0.4989,0.5011,"0","1",3,6,1
0.4046,0.5954,"0","0",6,11,0
0.4849,0.5151,"0","1",3,6,1
0.4203,0.5797,"0","0",5,10,0
0.5237,0.4763,"1","0",3,5,0
0.3454,0.6546,"0","0",7,14,0
0.5705,0.4295,"1","1",2,3,1
0.3884,0.6116,"0","1",6,12,1
0.613,0.387,"1","1",1,2,1
0,1,"0","0",10,20,0
0.7298,0.2702,"1","1",1,1,1
0.1453,0.8547,"0","0",10,19,0
0.6184,0.3816,"1","1",1,2,1
0.5335,0.4665,"1","1",2,4,1
0.2618,0.7382,"0","0",8,16,0
0.4591,0.5409,"0","0",4,8,0
0.1062,0.8938,"0","0",10,19,0
0.3749,0.6251,"0","1",6,12,1
0.2206,0.7794,"0","1",9,17,1
0,1,"0","0",10,20,0
0.4806,0.5194,"0","1",4,7,1
0.4991,0.5009,"0","0",3,6,0
0.4667,0.5333,"0","0",4,7,0
0.3929,0.6071,"0","1",6,11,1
0.4839,0.5161,"0","0",3,6,0
0.4843,0.5157,"0","1",3,6,1
0.5532,0.4468,"1","0",2,4,0
